book,bookLabel,authorLabel,publisherLabel,countryLabel,year,languageLabel,genreLabel
http://www.wikidata.org/entity/Q6059427,Invaders from Rigel,Флетчер Прэтт,Avalon Books,США,1960,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3207217,Певица Перна,Энн Маккефри,Atheneum Books,США,1977,английский язык,фэнтези
http://www.wikidata.org/entity/Q963537,Свирепый Пеллюсидар,Эдгар Райс Берроуз,Canaveral Press,США,1963,английский язык,фэнтези
http://www.wikidata.org/entity/Q4384441,Путь на Амальтею,братья Стругацкие,Молодая гвардия,Россия,1960,русский язык,научная фантастика
http://www.wikidata.org/entity/Q2654518,Карты судьбы,Роджер Желязны,Arbor House,США,1985,английский язык,фэнтези
http://www.wikidata.org/entity/Q4372933,Попытка к бегству,братья Стругацкие,Молодая гвардия,Россия,1962,русский язык,научная фантастика
http://www.wikidata.org/entity/Q1218394,Хищные вещи века,братья Стругацкие,Молодая гвардия,Россия,1965,русский язык,научная фантастика
http://www.wikidata.org/entity/Q5370535,Emergence,Дэвид Р. Палмер,Bantam Spectra,США,1984,английский язык,научная фантастика
http://www.wikidata.org/entity/Q4884626,Below the Root,Zilpha Keatley Snyder,Atheneum Books,США,1975,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7727311,The Condition of Muzak,Майкл Муркок,Allison & Busby,Великобритания,1977,английский язык,научная фантастика
http://www.wikidata.org/entity/Q782075,Снежная королева,Джоан Виндж,Dial Press,США,1980,английский язык,фэнтези
http://www.wikidata.org/entity/Q7882210,Unaccompanied Sonata and Other Stories,Орсон Скотт Кард,Dial Press,США,1980,английский язык,фэнтези
http://www.wikidata.org/entity/Q2107668,Стажёры,братья Стругацкие,Молодая гвардия,Россия,1962,русский язык,научная фантастика
http://www.wikidata.org/entity/Q1059371,"Музыка, звучащая в крови",Грег Бир,Arbor House,США,1985,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7097344,Operation Nuke,Мартин Кейдин,Arbor House,США,1973,английский язык,научная фантастика
http://www.wikidata.org/entity/Q1131423,Бегство Логана,Уильям Ф. Нолан,Dial Press,США,1967,английский язык,научная фантастика
http://www.wikidata.org/entity/Q848517,Пикник на обочине,братья Стругацкие,Молодая гвардия,Россия,1972,русский язык,научная фантастика
http://www.wikidata.org/entity/Q372894,Час Быка,Иван Антонович Ефремов,Молодая гвардия,Россия,1970,русский язык,научная фантастика
http://www.wikidata.org/entity/Q15033851,High Crystal,Мартин Кейдин,Arbor House,США,1974,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3981229,Тарзан и сумасшедший,Эдгар Райс Берроуз,Canaveral Press,США,1964,английский язык,фэнтези
http://www.wikidata.org/entity/Q7967196,Wanderers of Time,Джон Уиндем,Coronet Books,Великобритания,1973,английский язык,научная фантастика
http://www.wikidata.org/entity/Q4708265,Alanna: The First Adventure,Tamora Pierce,Atheneum Books,США,1983,английский язык,фэнтези
http://www.wikidata.org/entity/Q7744862,The Knights of the Limits,Баррингтон Джон Бейли,Allison & Busby,Великобритания,1978,английский язык,научная фантастика
http://www.wikidata.org/entity/Q23307461,Omnibus of Science Fiction,Андре Моруа,Crown Publishing Group,США,1952,английский язык,научная фантастика
http://www.wikidata.org/entity/Q3207217,Певица Перна,Энн Маккефри,Atheneum Books,США,1977,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7751219,The Mezentian Gate,Эрик Рюкер Эддисон,Curwen Press,Великобритания,1958,английский язык,фэнтези
http://www.wikidata.org/entity/Q1131423,Бегство Логана,Джордж Клейтон Джонсон,Dial Press,США,1967,английский язык,научная фантастика
http://www.wikidata.org/entity/Q963537,Свирепый Пеллюсидар,Эдгар Райс Берроуз,Canaveral Press,США,1963,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7997248,Кто он?,Альфред Бестер,Dial Press,США,1953,английский язык,научная фантастика
