book,bookLabel,author,authorLabel,genreLabel,pubDate,publisherLabel
http://www.wikidata.org/entity/Q1090238,"Время, назад",http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1967-01-01T00:00:00Z,Berkley Books
http://www.wikidata.org/entity/Q190192,Дюна,http://www.wikidata.org/entity/Q7934,Фрэнк Герберт,научная фантастика,1965-01-01T00:00:00Z,Chilton Company
http://www.wikidata.org/entity/Q662029,Нейромант,http://www.wikidata.org/entity/Q188987,Уильям Гибсон,научная фантастика,1984-07-01T00:00:00Z,Ace Books
http://www.wikidata.org/entity/Q437365,Дети Дюны,http://www.wikidata.org/entity/Q7934,Фрэнк Герберт,научная фантастика,1976-04-01T00:00:00Z,G. P. Putnam's Sons
http://www.wikidata.org/entity/Q1083082,The Atrocity Exhibition,http://www.wikidata.org/entity/Q140201,Джеймс Баллард,научная фантастика,1970-01-01T00:00:00Z,Jonathan Cape
http://www.wikidata.org/entity/Q578895,Ресторан «У конца Вселенной»,http://www.wikidata.org/entity/Q42,Дуглас Адамс,научная фантастика,1980-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1723311,Поле боя — Земля,http://www.wikidata.org/entity/Q216896,Лафайет Рональд Хаббард,научная фантастика,1982-01-01T00:00:00Z,Bridge Publications
http://www.wikidata.org/entity/Q1131423,Бегство Логана,http://www.wikidata.org/entity/Q2578761,Уильям Ф. Нолан,научная фантастика,1967-01-01T00:00:00Z,Dial Press
http://www.wikidata.org/entity/Q1114487,Обман Инкорпорейтед,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1966-01-01T00:00:00Z,Ace Books
http://www.wikidata.org/entity/Q1083082,The Atrocity Exhibition,http://www.wikidata.org/entity/Q140201,Джеймс Баллард,научная фантастика,1970-01-01T00:00:00Z,Grove Press
http://www.wikidata.org/entity/Q1215430,Bedlam Planet,http://www.wikidata.org/entity/Q378807,Джон Браннер,научная фантастика,1968-04-01T00:00:00Z,
http://www.wikidata.org/entity/Q384160,Долгая прогулка,http://www.wikidata.org/entity/Q39829,Стивен Кинг,научная фантастика,1979-07-01T00:00:00Z,New American Library
http://www.wikidata.org/entity/Q780585,A Planet Called Treason,http://www.wikidata.org/entity/Q217110,Орсон Скотт Кард,научная фантастика,1979-07-01T00:00:00Z,St. Martin's Press
http://www.wikidata.org/entity/Q747087,Двенадцать румбов ветра,http://www.wikidata.org/entity/Q181659,Урсула Крёбер Ле Гуин,научная фантастика,1975-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1106283,Духовное ружье,http://www.wikidata.org/entity/Q171091,Филип Дик,научная фантастика,1967-01-01T00:00:00Z,Jove Books
http://www.wikidata.org/entity/Q438247,Континуум Гернсбека,http://www.wikidata.org/entity/Q188987,Уильям Гибсон,научная фантастика,1981-01-01T00:00:00Z,
