bookLabel,authorLabel,publisherLabel,countryLabel,year,languageLabel
The Year's Best Fantasy Stories,Лин Картер,DAW Books,США,1975,английский язык
Свет Зелёной Звезды,Лин Картер,DAW Books,США,1974,английский язык
The Pirate of World's End,Лин Картер,DAW Books,США,1978,английский язык
Сила трёх,Диана Уинн Джонс,Macmillan Publishers,Великобритания,1976,английский язык
The Second Book of Fritz Leiber,Фриц Лейбер,DAW Books,США,1975,английский язык
Песнь о Лии,Джордж Р. Р. Мартин,Avon Publications,США,1976,английский язык
The Great Victorian Collection,Браян Мур,McClelland & Stewart,Канада,1975,английский язык
Lore of the Witch World,Андре Нортон,DAW Books,США,1980,английский язык
Магический лабиринт,Филип Хосе Фармер,Berkley Books,США,1980,американский вариант английского языка
Мост в Терабитию,Кэтрин Патерсон,Thomas Y. Crowell Co.,США,1977,английский язык
Тейра из Сумерек,Лин Картер,Kensington Books,США,1979,английский язык
The mystery of the Tökland island,Joan Manuel Gisbert,Espasa-Calpe,Испания,1979,испанский язык
Певица Перна,Энн Маккефри,Atheneum Books,США,1977,английский язык
Фабрика Грёз Unlimited,Джеймс Баллард,Jonathan Cape,Великобритания,1979,английский язык
Мастер загадок,Патриция Маккиллип,Atheneum Books,США,1976,английский язык
Until the Celebration,Zilpha Keatley Snyder,Atheneum Books,США,1977,английский язык
Deathbird Stories,Харлан Эллисон,Harper,США,1975,английский язык
Over the Hills and Far Away,"Эдвард Планкетт, 18-й барон Дансени",Ballantine Books,США,1974,английский язык
Королева бурь,Мэрион Зиммер Брэдли,DAW Books,США,1978,английский язык
Порог,Урсула Крёбер Ле Гуин,Harper,США,1980,английский язык
Тень чёрного бога,Кэтрин Люсиль Мур,"Donald M. Grant, Publisher",США,1977,английский язык
Hawk of May,Gillian Bradshaw,New American Library,США,1980,английский язык
Weird Tales 2,Лин Картер,Kensington Books,США,1975,английский язык
Prince of Annwn,Evangeline Walton,Ballantine Books,США,1974,английский язык
Владыка ночи,Танит Ли,DAW Books,США,1978,английский язык
Хэдон из Древнего Опара,Филип Хосе Фармер,DAW Books,США,1974,английский язык
Повелитель Дракона,Дэвид Дрейк,Berkley Books,США,1979,английский язык
Туман,Стивен Кинг,New American Library,США,1980,американский вариант английского языка
The Infinity Box,Кейт Вильгельм,Harper,США,1975,английский язык
Арфист на ветру,Патриция Маккиллип,Atheneum Books,США,1979,английский язык
Малафрена,Урсула Крёбер Ле Гуин,Prószyński i S-ka,Польша,1979,английский язык
Склад странных услад,Фриц Лейбер,"Donald M. Grant, Publisher",США,1978,английский язык
Вечный Тук,Натали Баббитт,"Farrar, Straus and Giroux",США,1975,английский язык
Владыка смерти,Танит Ли,DAW Books,США,1979,английский язык
The Keeper's Price,The Friends of Darkover,DAW Books,США,1980,английский язык
Below the Root,Zilpha Keatley Snyder,Atheneum Books,США,1975,английский язык
Simon and the Witch,Margaret Stuart Barry,"William Collins, Sons",Великобритания,1976,английский язык
The Island of Doctor Death and Other Stories and Other Stories,Джин Вулф,Pocket Books,США,1980,английский язык
Город за пределами мира,Лин Картер,Berkley Books,США,1977,английский язык
Unaccompanied Sonata and Other Stories,Орсон Скотт Кард,Dial Press,США,1980,английский язык
Бегство в Опар,Филип Хосе Фармер,DAW Books,США,1976,английский язык
The White Hart,Нэнси Спрингер,Pocket Books,США,1979,английский язык
The Enormous Crocodile,Роальд Даль,Jonathan Cape,Великобритания,1978,английский язык
The Grey King,Сьюзэн Купер,Chatto & Windus,Великобритания,1975,английский язык
Святой Камбер,Кэтрин Куртц,Ballantine Books,США,1978,английский язык
The Keeper's Price,Мэрион Зиммер Брэдли,DAW Books,США,1980,английский язык
Магический лабиринт,Филип Хосе Фармер,Berkley Books,США,1980,английский язык
The Great Victorian Collection,Браян Мур,Jonathan Cape,Великобритания,1975,английский язык
Куда приводят мечты,Ричард Мэтисон,G. P. Putnam's Sons,США,1978,английский язык
Покой,Джин Вулф,Harper,США,1975,английский язык
