publisherLabel,countryLabel,count
Компания Асахи-симбун,Япония,1
Американский институт аэронавтики и астронавтики,США,1
Ad Astra,Венгрия,1
Arena,Германия,1
Rowohlt Verlag,Германия,1
Elsevier,Нидерланды,1
Kiepenheuer & Witsch,Германия,1
Blanvalet,Германия,1
Longman,Великобритания,1
Goldmann,Германия,1
Schocken Books,США,1
Schocken Books,Израиль,1
Schocken Books,Государство Палестина,1
Chaosium,США,1
Deutsche Verlags-Anstalt,Германия,1
Джон Мюррей,Великобритания,1
Paulist Fathers,США,1
Kobunsha,Япония,1
Meulenhoff,Нидерланды,1
Routledge,Великобритания,1
Sanoma,Финляндия,1
Q1616109,Нидерланды,1
Heyne Verlag,Германия,1
Hogarth Press,Великобритания,1
Bridge Publications,США,1
Seven Seas Entertainment,США,1
Планета,Испания,1
The Chicken House,Великобритания,1
Мир,Россия,1
Новый мир,Россия,1
Melantrich,Чехия,1
Otava,Финляндия,1
Western Publishing,США,1
Фаяр,Франция,1
Am Oved,Израиль,1
Black Library,Великобритания,1
Cappelen Damm,Норвегия,1
David McKay Publications,США,1
Disney Editions,США,1
Fondo de Cultura Económica,Мексика,1
Фламмарион,Франция,1
Le Bélial',Франция,1
Ohta Publishing,Япония,1
Presses de la Cité,Франция,1
Seix i Barral,Испания,1
Éditions Édilivre,Франция,1
Delos Books,Италия,1
Garzanti,Италия,1
McSweeney's,США,1
Vallecchi,Италия,1
Советский писатель,Россия,1
Aladdin Paperbacks,США,1
Andrews McMeel Publishing,США,1
Workman Publishing Company,США,1
Arsenal Pulp Press,Канада,1
Ash-Tree Press,Канада,1
Bantam Press,Великобритания,1
Boardman Books,Великобритания,1
CLÀR,Великобритания,1
Canongate Books,Великобритания,1
Cassell,Великобритания,1
Cemetery Dance Publications,США,1
Charles H. Kerr Publishing Company,США,1
Chronicle Books,США,1
Coronet Books,Великобритания,1
Digital Manga,США,1
"Dodd, Mead and Company",США,1
Easton Press,США,1
The Mainichi Newspapers Co.,Япония,1
Tyndale House,США,1
Fabryka Słów,Польша,1
Fiction Collective Two,США,1
Fremantle Press,Австралия,1
Harmony Books,США,1
Harper Perennial,США,1
Grupo SM,Испания,1
Kensington Books,США,1
Издательство Ливерпульского университета,Великобритания,1
