bookQID,bookLabel,authorLabel,publisherLabel,countryLabel,year,genreLabel,pageCount,languageLabel,literaryMovementLabel
Q3988978,Республика воров,Скотт Линч,Del Rey Books,,2013,,,английский язык,
Q15033001,Серебряная грёза,Майкл Ривз,HarperCollins,США,2013,,,английский язык,
Q18281076,Сын Собека,Рик Риордан,Puffin Books,Великобритания,2013,,,английский язык,
Q18281076,Сын Собека,Рик Риордан,Disney Publishing Worldwide,США,2013,,,английский язык,
Q117811099,Q117811099,Dewi Lestari,Bentang Pustaka,,2012,,508,индонезийский язык,
Q9361865,Q9361865,Andrzej Pilipiuk,Fabryka Słów,Польша,2012,,,польский язык,
Q23419122,13,Келли Армстронг,Orbit Books,,2012,,,английский язык,
Q4656191,A Crown Imperilled,Раймонд Фэйст,HarperCollins,США,2012,,,английский язык,
Q19872041,Allanon's Quest,Терренс Дин Брукс,Del Rey Books,,2012,,,английский язык,
Q4860016,Bard's Oath,Joanne Bertin,Tor Books,США,2012,,,английский язык,
Q15032966,Carnival of Souls,Мелисса Марр,HarperCollins,США,2012,,,английский язык,
Q5189796,Crucible of Gold,Наоми Новик,HarperCollins,США,2012,,,английский язык,
Q5243364,Days of Blood and Starlight,Лэйни Тейлор,"Little, Brown and Company",США,2012,,,английский язык,
Q4489841,Deadlocked,Шарлин Харрис,Ace Books,США,2012,,,английский язык,
Q25217527,Every Day,Дэвид Левитан,Alfred A. Knopf,США,2012,,,английский язык,
Q5881727,Hollow Earth,Carole Barrowman,Michael O'Mara Books,Великобритания,2012,,,английский язык,
Q5881727,Hollow Earth,Джон Барроумэн,Michael O'Mara Books,Великобритания,2012,,,английский язык,
Q18160282,Home From the Sea,Mercedes Lackey,DAW Books,США,2012,,,английский язык,
Q17035240,Kingdom of the Wicked,Дерек Лэнди,HarperCollins,США,2012,,,английский язык,
Q15844728,Mr. Penumbra’s 24-Hour Bookstore,Робин Слоун,"Farrar, Straus and Giroux",США,2012,,,английский язык,
Q103962599,Of Gods and Elves,Brian D. Anderson,Brian D. Anderson,,2012,,,английский язык,
Q17035259,Skulduggery Pleasant: The End of the World,Дерек Лэнди,HarperCollins,США,2012,,,,
Q7562697,Soonchild,Рассел Хобан,Walker Books,Великобритания,2012,,,английский язык,
Q7715536,The Bane of Yoto,Josh Viola,FiXT,,2012,,,английский язык,
Q15033139,The Empty City,Эрин Хантер,HarperCollins,США,2012,,,английский язык,
Q1219512,The Enchantress: The Secrets of the Immortal Nicholas Flamel,Майкл Скотт,Random House,США,2012,,,английский язык,
Q7741090,The Hunters,Джон Флэнеган,Random House,США,2012,,,английский язык,
Q7741090,The Hunters,Джон Флэнеган,Penguin Books,Великобритания,2012,,,английский язык,
Q7742398,The Invaders,Джон Флэнеган,Random House,США,2012,,,английский язык,
Q7742398,The Invaders,Джон Флэнеган,Penguin Books,Великобритания,2012,,,английский язык,
Q103961538,The Sword of Truth,Brian D. Anderson,Brian D. Anderson,,2012,,346,английский язык,
Q11128111,The Traitor Queen,Trudi Canavan,Orbit Books,,2012,,,австралийский английский,
Q15033305,Throne of the Crescent Moon,Саладин Ахмед,DAW Books,США,2012,,,английский язык,
Q7883199,Under Wildwood,Colin Meloy,HarperCollins,США,2012,,,английский язык,
Q7969211,Wards of Faerie,Терренс Дин Брукс,Del Rey Books,,2012,,,английский язык,
Q11766714,Maladie i inne opowiadania,Анджей Сапковский,SuperNOWA,,2012,,,польский язык,
Q2864880,Артемис Фаул. Последний хранитель,Оуэн Колфер,Disney Publishing Worldwide,США,2012,,,гиберно-английский язык,
Q2864880,Артемис Фаул. Последний хранитель,Оуэн Колфер,Viking Press,США,2012,,,гиберно-английский язык,
Q923111,Ветер сквозь замочную скважину,Стивен Кинг,"Donald M. Grant, Publisher",США,2012,,,английский язык,
Q3930293,Вознесение,Лорен Кейт,Random House,США,2012,,,английский язык,
Q18393961,Воин Доброй Удачи,Ричард Скотт Бэккер,The Overlook Press,США,2012,,,английский язык,
Q21624970,Воронята,Мэгги Стивотер,Scholastic Corporation,США,2012,,,английский язык,
Q5770821,Город потерянных душ,Кассандра Клэр,Simon & Schuster,США,2012,,,английский язык,
Q7729697,Дневники полубога,Рик Риордан,Disney Publishing Worldwide,США,2012,,,английский язык,
Q3283718,Знак Афины,Рик Риордан,Disney Publishing Worldwide,США,2012,,,английский язык,
Q5086604,Коготь Шарона,Роберт Сальваторе,Wizards of the Coast,США,2012,,,английский язык,
Q4191011,Кровные узы. Золотая лилия,Райчел Мид,Гагарка,,2012,,,английский язык,
Q12741794,Кровь Ведьмака,Джозеф Дилейни,Bodley Head,Великобритания,2012,,,британский вариант английского языка,
Q18788326,Кузница тьмы,Стивен Эриксон,Bantam Books,США,2012,,,английский язык,
Q42395176,Небо цвета стали,Роберт М. Вегнер,Powergraph,Польша,2012,,,польский язык,
Q16992186,Огненная летопись,Джон Стивенс,Alfred A. Knopf,США,2012,,,английский язык,
Q5451294,Огонь,Матс Страндберг,Random House,США,2012,,,шведский язык,
Q5451294,Огонь,Сара Бергмарк,Random House,США,2012,,,шведский язык,
Q5451294,Огонь,Матс Страндберг,Rabén & Sjögren,Швеция,2012,,,шведский язык,
Q5451294,Огонь,Сара Бергмарк,Rabén & Sjögren,Швеция,2012,,,шведский язык,
Q3188588,Первая Исповедница,Терри Гудкайнд,самиздат,,2012,,,английский язык,
Q5265201,Предначертание,Эприлинн Пайк,HarperCollins,США,2012,,,английский язык,
Q4877796,Прекрасное искупление,Margaret Stohl,"Little, Brown and Company",США,2012,,,английский язык,
Q4877796,Прекрасное искупление,Ками Гарсиа,"Little, Brown and Company",США,2012,,,английский язык,
Q15052482,Пророки,Libba Bray,"Little, Brown and Company",США,2012,,,английский язык,
Q123521605,Пророчество о драконятах,Туи Сазерленд,Scholastic Corporation,США,2012,,,английский язык,
Q7452717,Серафина,Rachel Hartman,Random House,США,2012,,,английский язык,
Q30597488,Сердце королевы,Kristin Cashore,Harcourt,США,2012,,,английский язык,
Q7763362,Тень змеи,Рик Риордан,Hyperion Books,США,2012,,,английский язык,
Q7763362,Тень змеи,Рик Риордан,Disney Publishing Worldwide,США,2012,,,английский язык,
Q7460625,Тень и Кость,Ли Бардуго,Macmillan Publishers,Великобритания,2012,,,английский язык,
Q7460658,Тень ночи,Дебора Харкнесс,Penguin Books,Великобритания,2012,,,английский язык,
Q5142235,Холодные дни,Джим Батчер,Roc Books,США,2012,,,английский язык,
Q11701413,Q11701413,Майя Лидия Коссаковская,Fabryka Słów,Польша,2011,,,польский язык,
Q131743640,Q131743640,Личия Троиси,Arnoldo Mondadori Editore,Италия,2011,,,итальянский язык,
Q15211707,Q15211707,Миу Какия,Futabasha,Япония,2011,,,японский язык,
Q3549004,A Kingdom Besieged,Раймонд Фэйст,HarperCollins,США,2011,,,английский язык,
Q16826483,Akata Witch,Ннеди Окорафор,Viking Press,США,2011,,,английский язык,
Q2269230,Among Others,Джо Уолтон,Constable & Robinson,Великобритания,2011,,,английский язык,
Q18358604,Blackveil,Kristen Britain,DAW Books,США,2011,,,английский язык,
Q5158144,Conan the Barbarian,Роберт Ирвин Говард,Del Rey Books,,2011,,,английский язык,
Q27989063,Czarny Młyn,Marcin Szczygielski,Instytut Wydawniczy Latarnik,,2011,,,польский язык,
Q5227917,Daughter of Smoke and Bone,Лэйни Тейлор,"Little, Brown and Company",США,2011,,,английский язык,
Q7536889,Death Bringer,Дерек Лэнди,HarperCollins,США,2011,,,английский язык,
Q16999429,Everfound,Нил Шустерман,Simon & Schuster,США,2011,,,английский язык,
Q5417427,Everwild,Нил Шустерман,Simon & Schuster,США,2011,,,английский язык,
Q5418438,Evil Machines,Терри Джонс,Unbound,Великобритания,2011,,,английский язык,
Q5597868,Graveminder,Мелисса Марр,William Morrow and Company,США,2011,,,английский язык,
Q97024149,Le Secret d'Orbæ,Франсуа Плас,Casterman,Бельгия,2011,,,,
Q6785544,Mastiff,Tamora Pierce,Random House,США,2011,,,английский язык,
Q7111597,Out of Oz,Грегори Магуайр,William Morrow and Company,США,2011,,,английский язык,
Q7282837,Rage,Jackie Kessler,Houghton Mifflin Harcourt,США,2011,,,английский язык,
Q7379841,Runelight,Джоанн Харрис,Doubleday,США,2011,,,английский язык,
Q7598676,Stands a Shadow,Col Buchanan,Tor Books,США,2011,,,английский язык,
Q7720091,The Bridge to Never Land,Ридли Пирсон,Hyperion Books,США,2011,,,английский язык,
Q7720091,The Bridge to Never Land,Дэйв Барри,Hyperion Books,США,2011,,,английский язык,
Q7748733,The Lost Stories,Джон Флэнеган,Random House,США,2011,,,английский язык,
Q7755638,The Outcasts,Джон Флэнеган,Random House,США,2011,,,английский язык,
Q7755638,The Outcasts,Джон Флэнеган,Penguin Books,Великобритания,2011,,,английский язык,
Q2301306,The Rogue,Trudi Canavan,Orbit Books,,2011,,,английский язык,
Q4670823,The Sacred Band,Дэвид Энтони Дарем,Doubleday,США,2011,,,английский язык,
Q7763285,The Sending,Isobelle Carmody,Bloomsbury Publishing,Великобритания,2011,,,английский язык,
Q7763285,The Sending,Isobelle Carmody,Random House,США,2011,,,английский язык,
Q12726619,The Spook's Destiny,Джозеф Дилейни,Bodley Head,Великобритания,2011,,,британский вариант английского языка,
Q7768856,The Thirteen Hallows,Майкл Скотт,Tor Books,США,2011,,,английский язык,
Q25217366,The Unwanteds,Lisa McMann,Aladdin Paperbacks,США,2011,,,английский язык,
Q7834139,Transformers: Exiles,Александр Ирвин,Del Rey Books,,2011,,,английский язык,
Q7981046,Well-Tempered Clavicle,Пирс Энтони,Tor Books,США,2011,,,английский язык,
Q8001555,Wildwood: The Wildwood Chronicles,Colin Meloy,HarperCollins,США,2011,,,английский язык,
Q8027860,Witch and Wizard: The Fire,Джеймс Паттерсон,"Little, Brown and Company",США,2011,,,английский язык,
Q8057285,You Have To Stop This,Рафаэль Зимон,"Little, Brown and Company",США,2011,,,английский язык,
Q4658340,Голос монстра,Пэтрик Несс,Walker Books,Великобритания,2011,,,английский язык,
Q5123656,Город драконов,Робин Хобб,HarperCollins,США,2011,,,английский язык,
Q6877267,Дом странных детей,Ренсом Риггз,Apple Books,,2011,,,американский вариант английского языка,
Q3818849,Изумрудный атлас,Джон Стивенс,Alfred A. Knopf,США,2011,,,английский язык,
Q5557171,История призрака,Джим Батчер,Roc Books,США,2011,,,английский язык,
Q7749537,Король волшебников,Лев Гроссман,Viking Press,США,2011,,,английский язык,
Q7749537,Король волшебников,Лев Гроссман,Penguin Books,Великобритания,2011,,,английский язык,
Q7304189,Красная перчатка,Холли Блэк,Simon & Schuster,США,2011,,,английский язык,
Q2515706,Кровные узы. Принцесса по крови,Райчел Мид,Penguin Group,Великобритания,2011,,,английский язык,
Q3210241,Машина предсказаний,Терри Гудкайнд,Tor Books,США,2011,,,английский язык,
Q10455260,Механический принц,Кассандра Клэр,Simon & Schuster,США,2011,,,английский язык,
Q6000507,Миражи,Эприлинн Пайк,HarperCollins,США,2011,,,английский язык,
Q6888383,Модельный мир,Тайра Бэнкс,Random House,США,2011,,,английский язык,
Q6888383,Модельный мир,Тайра Бэнкс,Dell Publishing,США,2011,,,английский язык,
Q7004483,Невервинтер,Роберт Сальваторе,Wizards of the Coast,США,2011,,,английский язык,
Q10594892,Ночной цирк,Эрин Моргенштерн,Doubleday,США,2011,,,английский язык,
Q282284,Огненный трон,Рик Риордан,Hyperion Books,США,2011,,,английский язык,
Q282284,Огненный трон,Рик Риордан,Disney Publishing Worldwide,США,2011,,,английский язык,
Q4656489,Открытие ведьм,Дебора Харкнесс,Penguin Books,Великобритания,2011,,,английский язык,
Q7765258,Песнь Кваркозверя,Джаспер Ффорде,Hodder & Stoughton,Великобритания,2011,,,английский язык,
Q4350960,Повелитель душ,Грегори Киз,Del Rey Books,,2011,,,английский язык,
Q4877679,Прекрасный хаос,Margaret Stohl,"Little, Brown and Company",США,2011,,,английский язык,
Q4877679,Прекрасный хаос,Ками Гарсиа,"Little, Brown and Company",США,2011,,,английский язык,
Q4690738,Призрачная ночь,Клаудия Грэй,HarperCollins,США,2011,,,английский язык,
Q126687198,Разрушь меня,Тахира Мафи,HarperCollins UK,Великобритания,2011,,,английский язык,
Q6880077,Сплав закона,Брендон Сандерсон,Tor Books,США,2011,,,английский язык,
Q3281312,Страсть,Лорен Кейт,Random House,США,2011,,,английский язык,
Q1277076,Сын Нептуна,Рик Риордан,Disney Publishing Worldwide,США,2011,,,английский язык,
Q28306,Танец с драконами,Джордж Р. Р. Мартин,Opus Press,Израиль,2011,,,английский язык,
Q7728105,Увечный бог,Стивен Эриксон,Bantam Books,США,2011,,,английский язык,
Q7728105,Увечный бог,Стивен Эриксон,Tor Books,США,2011,,,английский язык,
Q60672,Эрагон. Наследие,Кристофер Паолини,Alfred A. Knopf,США,2011,,,португальский язык,
Q60672,Эрагон. Наследие,Кристофер Паолини,Alfred A. Knopf,США,2011,,,английский язык,
Q11498288,Q11498288,Хидэаки Коясу,ASCII Media Works,Япония,2010,,,японский язык,
Q21015289,Q21015289,Манабу Макимэ,Chikuma Shobō,Япония,2010,,217,японский язык,
Q42395171,Q42395171,Роберт М. Вегнер,Powergraph,Польша,2010,,,польский язык,
Q4660689,A Wizard of Mars,Диана Дуэйн,Harcourt,США,2010,,,английский язык,
Q4691026,Against All Things Ending,Стивен Дональдсон,G. P. Putnam's Sons,США,2010,,,английский язык,
Q4712974,Alcatraz Versus the Shattered Lens,Брендон Сандерсон,Scholastic Corporation,США,2010,,,английский язык,
Q2524057,At the Gates of Darkness,Раймонд Фэйст,HarperCollins,США,2010,,,английский язык,
Q4873211,Battles of the Clans,Эрин Хантер,HarperCollins,США,2010,,,английский язык,
Q27960883,Behind The Blue Door,Marcin Szczygielski,Instytut Wydawniczy Latarnik,,2010,,,польский язык,
Q5071908,Changeless,Gail Carriger,Orbit Books,,2010,,,английский язык,
Q7536888,Dark Days,Дерек Лэнди,HarperCollins,США,2010,,,английский язык,
Q5427918,Fable: The Balverine Order,Питер Дэвид,Ace Books,США,2010,,,английский язык,
Q5943258,Hunger,Jackie Kessler,Houghton Mifflin Harcourt,США,2010,,,английский язык,
Q6383191,Keeper,Kathi Appelt,Atheneum Books,США,2010,,,английский язык,
Q24038023,Key of Stars,Bruce Cordell,Wizards of the Coast,США,2010,,,английский язык,
Q2697148,King's Wrath,Fiona McIntosh,HarperCollins,США,2010,,,английский язык,
Q6423054,Knot Gneiss,Пирс Энтони,Tor Books,США,2010,,,английский язык,
Q7170497,Personal Demons,Lisa Desrochers,Tor Books,США,2010,,,английский язык,
Q7244891,Princess of Glass,Jessica Day George,Bloomsbury Publishing,Великобритания,2010,,,английский язык,
Q7280292,Radiance,Элисон Ноэль,Macmillan Publishers,США,2010,,,английский язык,
Q7722367,The Chestnut King,N. D. Wilson,Random House,США,2010,,,английский язык,
Q7722507,The Children of the Lost,David Whitley,Puffin Books,Великобритания,2010,,,английский язык,
Q7730825,The Dragon's Apprentice,James A. Owen,Simon & Schuster,США,2010,,,английский язык,
Q7731934,The Emperor of Nihon-Ja,Джон Флэнеган,Random House,США,2010,,,английский язык,
Q7736888,The Goblin Gate,Hilari Bell,HarperCollins,США,2010,,,английский язык,
Q17008242,The Lady Who Plucked Red Flowers Beneath the Queen's Window,Rachel Swirsky,Subterranean Press,США,2010,,,английский язык,
Q131863900,The Last Hunt,Брюс Ковилл,Scholastic Corporation,США,2010,,,английский язык,
Q7753234,The Native Star,M. K. Hobson,Bantam Spectra,США,2010,,,английский язык,
Q7764785,The Sleeping Beauty,Mercedes Lackey,Harlequin Enterprises,Канада,2010,,,английский язык,
Q7769245,The Tiger’s Wife,Теа Обрехт,Random House,США,2010,,,английский язык,
Q7769245,The Tiger’s Wife,Теа Обрехт,Phoenix Books,,2010,,,английский язык,
Q7774563,The White Road,Линн Флевелинг,Bantam Spectra,США,2010,,,английский язык,
Q385336,Tongues of Serpents,Наоми Новик,HarperCollins,США,2010,,,английский язык,
Q7834141,Transformers: Exodus,Александр Ирвин,Del Rey Books,,2010,,,английский язык,
Q7913023,Vampireology: The True History of the Fallen,Nick Holt,Bonnier Group,Швеция,2010,,,английский язык,
Q860091,Arthas: Rise of the Lich King,Кристи Голден,Pocket Books,США,2010,,,английский язык,
Q2693218,Артемис Фаул. Зов Атлантиды,Оуэн Колфер,Hyperion Books,США,2010,,,гиберно-английский язык,
Q2693218,Артемис Фаул. Зов Атлантиды,Оуэн Колфер,Miramax Books,,2010,,,гиберно-английский язык,
Q7762843,В поисках УдивЛы,Тони ДиТерлицци,Simon & Schuster,США,2010,,,английский язык,
Q15035528,Война хаоса,Пэтрик Несс,Candlewick Press,США,2010,,,английский язык,
Q15035528,Война хаоса,Пэтрик Несс,Walker Books,Великобритания,2010,,,английский язык,
Q5375369,Волшебный витраж,Диана Уинн Джонс,HarperCollins,США,2010,,,английский язык,
Q870296,Выкуси. История любви,Кристофер Мур,William Morrow and Company,США,2010,,,английский язык,
Q1008549,Гаунтлгрим,Роберт Сальваторе,Wizards of the Coast,США,2010,,,английский язык,
Q7858846,Две блондинки,Шарлин Харрис,Ace Books,США,2010,,,английский язык,
Q5429261,Долгое эхо (Коты-Воители),Эрин Хантер,HarperCollins,США,2010,,,английский язык,
Q4037587,Драконья гавань,Робин Хобб,HarperCollins,США,2010,,,английский язык,
Q6063924,Иорич,Стивен Браст,Tor Books,США,2010,,,английский язык,
Q3818564,Кольцо Соломона,Джонатан Страуд,Doubleday,США,2010,,,английский язык,
Q3209950,Копьё пустыни,Peter V. Brett,HarperCollins,США,2010,,,американский вариант английского языка,
Q3209950,Копьё пустыни,Peter V. Brett,HarperCollins,США,2010,,,английский язык,
Q2636237,Красная пирамида,Рик Риордан,Disney Publishing Worldwide,США,2010,,471,английский язык,
Q2758232,Механический ангел,Кассандра Клэр,Walker Books,Великобритания,2010,,,английский язык,
Q3865965,Мёртвая родня,Шарлин Харрис,Ace Books,США,2010,,,английский язык,
Q849907,Недолгая вторая жизнь Бри Таннер,Стефани Майер,"Little, Brown and Company",США,2010,,,английский язык,
Q3281481,Обреченные,Лорен Кейт,Random House,США,2010,,,английский язык,
Q5071935,Перемены,Джим Батчер,Roc Books,США,2010,,,английский язык,
Q7883104,Поднебесная,Гай Гэвриел Кей,Penguin Group,Великобритания,2010,,,английский язык,
Q5561538,Позолоченные латунные кости,Глен Кук,Roc Books,США,2010,,,английский язык,
Q6494630,Последняя жертва,Райчел Мид,Penguin Group,Великобритания,2010,,,английский язык,
Q2809619,Прекрасная тьма,Margaret Stohl,"Little, Brown and Company",США,2010,,,английский язык,
Q2809619,Прекрасная тьма,Ками Гарсиа,"Little, Brown and Company",США,2010,,,английский язык,
Q2356878,Пропавший герой,Рик Риордан,Disney Publishing Worldwide,США,2010,,,английский язык,
Q7537154,Судьба Небесного племени (Коты-Воители),Эрин Хантер,HarperCollins,США,2010,,,английский язык,
Q5913418,Холодная ночь,Клаудия Грэй,HarperCollins,США,2010,,,английский язык,
Q42395162,Q42395162,Роберт М. Вегнер,Powergraph,Польша,2009,,,польский язык,
Q9293473,Q9293473,Andrzej Pilipiuk,Fabryka Słów,Польша,2009,,,польский язык,
Q19902626,American Fantastic Tales,Фред Чаппелл,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Эдвард Лукас Уайт,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Brian Evenson,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Benjamin Percy,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Кэтлин Ребека Кирнан,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Джек Сноу,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Чарльз Бомонт,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Дэвид Грабб,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Дэвид Генри Келлер,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Джордж Сондерс,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Дональд Уондри,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Джефф Вандермеер,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Фрэнк Норрис,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Джером Биксби,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Кларк Эштон Смит,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Август Дерлет,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Чарльз Брокден Браун,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Конрад Эйкен,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Джо Хилл,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Джин Вулф,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Джон Чивер,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Фриц Лейбер,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Харлан Эллисон,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Брет Гарт,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Шарлотта Перкинс Гилман,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Энтони Бучер,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Амброз Гвиннет Бирс,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Генри Джеймс,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Говард Филлипс Лавкрафт,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Гертруда Атертон,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Уолтер Брейден Финней,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Фрэнсис Скотт Фицджеральд,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Исаак Башевис Зингер,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Эдгар По,Library of America,США,2009,,,английский язык,
Q19902626,American Fantastic Tales,Герман Мелвилл,Library of America,США,2009,,,английский язык,
Q4785284,ArchEnemy,Фрэнк Бэддор,Dial Press,США,2009,,,английский язык,
Q4927941,Bloodhound,Tamora Pierce,Random House,США,2009,,,английский язык,
Q2219159,Blue Moon,Элисон Ноэль,St. Martin's Press,США,2009,,,английский язык,
Q17746254,Book One of the Travelers,Carla Jablonski,Simon & Schuster,США,2009,,,английский язык,
Q17746256,Book Three of the Travelers,Walter Sorrells,Simon & Schuster,США,2009,,,английский язык,
Q17746255,Book Two of the Travelers,Walter Sorrells,Simon & Schuster,США,2009,,,английский язык,
Q16829704,City of Torment,Bruce Cordell,Wizards of the Coast,США,2009,,,английский язык,
Q5215685,Dandelion Fire,N. D. Wilson,Random House,США,2009,,,английский язык,
Q5223152,Dark Calling,Даррен О’Шонесси,HarperCollins,США,2009,,,английский язык,
Q5223231,Dark Fire,Chris d'Lacey,Scholastic Corporation,США,2009,,,английский язык,
Q5223231,Dark Fire,Chris d'Lacey,Orchard Books,,2009,,,английский язык,
Q5397011,Escape from Hell,Джерри Пурнель,Tor Books,США,2009,,,английский язык,
Q5397011,Escape from Hell,Ларри Нивен,Tor Books,США,2009,,,английский язык,
Q2913011,Evermore,Элисон Ноэль,St. Martin's Press,США,2009,,,английский язык,
Q5458712,Flesh and Fire,Laura Anne Gilman,Pocket Books,США,2009,,,английский язык,
Q5468801,Forest Born,Shannon Hale,Bloomsbury Publishing,Великобритания,2009,,,английский язык,
Q39073453,Great Bear Lake,Эрин Хантер,HarperCollins,США,2009,,,английский язык,
Q5643595,Halt's Peril,Джон Флэнеган,Random House,США,2009,,,английский язык,
Q5743212,Heroes in the Wind,Роберт Ирвин Говард,Penguin Books,Великобритания,2009,,,английский язык,
Q5944955,"Hunting The Shadows: The Selected Stories of Tanith Lee, Volume Two",Танит Ли,Wildside Press,США,2009,,,английский язык,
Q6928901,Mr. Maximillian Bacchus and his Travelling Circus,Клайв Баркер,Bad Moon Books,,2009,,,английский язык,
Q7177880,Peter and the Sword of Mercy,Ридли Пирсон,Hyperion Books,США,2009,,,английский язык,
Q7177880,Peter and the Sword of Mercy,Дэйв Барри,Hyperion Books,США,2009,,,английский язык,
Q7184719,Philippa Fisher and the Dream-Maker's Daughter,Liz Kessler,Orion Publishing Group,Великобритания,2009,,,английский язык,
Q7244908,Princess of the Midnight Ball,Jessica Day George,Bloomsbury Publishing,Великобритания,2009,,,английский язык,
Q3702438,Prom Nights from Hell,Мэг Кэбот,HarperCollins,США,2009,,,английский язык,
Q3702438,Prom Nights from Hell,Стефани Майер,HarperCollins,США,2009,,,английский язык,
Q7419817,Santa Olivia,Жаклин Кэри,Grand Central Publishing,США,2009,,,английский язык,
Q7621347,Strange Brew,P. N. Elrod,St. Martin's Press,США,2009,,,английский язык,
Q7699058,"Tempting The Gods: The Selected Stories of Tanith Lee, Volume 1",Танит Ли,Wildside Press,США,2009,,,английский язык,
Q7729705,The Demon's Covenant,Sarah Rees Brennan,Simon & Schuster,США,2009,,,английский язык,
Q7729706,The Demon's Lexicon,Sarah Rees Brennan,Simon & Schuster,США,2009,,,английский язык,
Q7732664,The Everafter War,Майкл Бакли,Abrams Books,США,2009,,,английский язык,
Q7732921,The Eye of the Forest,Филип Керр,Orchard Books,,2009,,,английский язык,
Q7734785,The Forest King,Paul B. Thompson,"TSR, Inc.",США,2009,,,английский язык,
Q7736902,The God Engines,Джон Скальци,Subterranean Press,США,2009,,,английский язык,
Q7742720,The Islands of the Blessed,Nancy Farmer,Atheneum Books,США,2009,,,английский язык,
Q7748757,The Lost Train of Thought,John Hulme,Bloomsbury Publishing,Великобритания,2009,,,английский язык,
Q16167150,The Shadow Dragons,James A. Owen,Simon & Schuster,США,2009,,,английский язык,
Q3235563,The Soldiers of Halla,Ди Джей Макхейл,Aladdin Paperbacks,США,2009,,,английский язык,
Q3235563,The Soldiers of Halla,Ди Джей Макхейл,Simon & Schuster,США,2009,,,английский язык,
Q767362,The Sorceress,Майкл Скотт,Random House,США,2009,,,английский язык,
Q7770076,The Tree Butcher,Andrzej Pilipiuk,Fabryka Słów,Польша,2009,,,польский язык,
Q4539214,Tyrant's Blood,Fiona McIntosh,HarperCollins,США,2009,,,английский язык,
Q7993456,Where the Mountain Meets the Moon,Грейс Лин,"Little, Brown and Company",США,2009,,,английский язык,
Q8025317,Wings of Wrath,Celia S. Friedman,DAW Books,США,2009,,,английский язык,
Q8027920,Witches Incorporated,Карен Миллер,Orbit Books,,2009,,,английский язык,
Q8038655,Wroniec,Яцек Дукай,Wydawnictwo Literackie,Польша,2009,,,польский язык,
Q860091,Arthas: Rise of the Lich King,Кристи Голден,Pocket Books,США,2009,,,английский язык,
Q948489,Адский город,Грегори Киз,Del Rey Books,,2009,,,английский язык,
Q1807346,Артемис Фаул. Миссия в Арктику,Оуэн Колфер,Hyperion Books,США,2009,,336,гиберно-английский язык,
Q1807346,Артемис Фаул. Миссия в Арктику,Оуэн Колфер,Hyperion Books,США,2009,,336,валлийский язык,
Q1807346,Артемис Фаул. Миссия в Арктику,Оуэн Колфер,Hyperion Books,США,2009,,336,английский язык,
Q1807346,Артемис Фаул. Миссия в Арктику,Оуэн Колфер,Gomer Press,Великобритания,2009,,336,гиберно-английский язык,
Q1807346,Артемис Фаул. Миссия в Арктику,Оуэн Колфер,Gomer Press,Великобритания,2009,,336,валлийский язык,
Q1807346,Артемис Фаул. Миссия в Арктику,Оуэн Колфер,Gomer Press,Великобритания,2009,,336,английский язык,
Q7536893,Безликие,Дерек Лэнди,HarperCollins,США,2009,,,английский язык,
